question,A,B,C,D,E,answer
头针治疗眩晕可取：____,额中线、额旁1线,顶中线‘额旁1线,顶中线‘枕下旁线,顶中线、枕上旁线,枕上正中线‘枕下旁线,C
下列胸穴在五行配属中，属金的是：____,少府,大陵,阳溪,后溪,经渠,C
在肾经上，又属郡穴的穴位是____,交信,温溜,都门,天井,复溜,A
手少阴经行于____,太阴，心主之前,太阴，心主之后,循胸肋,络脑,上胃,B
前额两发角之间的骨度分寸是____,12寸,9寸,8寸,6寸,5寸,B
前额头痛按辩证归经应属____,少阳头痛,阳明头痛,太阳头痛,厥阴头痛,少阴头痛,B
手太阴支脉直出次指____,前缘,后缘,内廉,外廉,以上都不是,C
下列穴位除一外，都是治疗眩晕的基本处方用穴：____,百会,风池,头维,大敦,绝骨,D
在八脉交会穴中，通于冲脉的穴位是____,列缺,公孙,内关,商丘,后溪,B
胆经的下合穴是____,光明,阳陵泉,委中,委阳,悬钟,B
男，60岁。胃院部疼痛隐隐，痛处喜按，空腹痛甚，纳后痛减，泛吐清水，大便澹薄，乏力，恶寒，手足不温，舌淡，苔薄白，脉虚弱。针灸时选____,足三里、中皖‘内关‘太冲、期门,足三里‘中月完‘内关‘胃俞‘神阙,足三里、中月完、内关、梁门、  天枢,足三里‘中院\内关\膻中‘膈俞,足三里、中皖、内关、神阙、脾俞、胃俞,E
肾阳亏虚型崩漏的治则是____,只针不灸，泻法,针灸并用，平补平泻,只针不灸，补法,只针不灸，平补乎泻,针灸并用，补法,E
治疗寒凝血瘀型痛经的处方是____,关元、三阴交‘地机‘十七椎、次髅、中极、归来,关元、三阴交‘合谷‘太冲‘次髅、中极、命门,关元、三阴交、足三里、胃俞、命门、次醪、十七椎,关元、三阴交‘足三里、太冲、肾俞、命门、中极,关元、血海、  三阴交、足三里、脾俞、肾俞、中极,A
心俞位于____,第4胸椎棘突下，旁开3寸,平第4胸椎棘突下，旁开3寸,第5胸椎棘突下，旁开1.5寸,平第8胸椎棘突下，旁开3寸,第5胸椎棘突下，旁开1.5寸,C
慢性腹泻病人，于黎明之前腹中微痛，肠鸣即泻，泻后痛减，腹部恶寒，腰膝酸软，舌淡，苔白，脉沉细。针灸时选____,神阙‘天枢‘大肠俞‘上巨虚、阴陵泉‘关元‘水分,神阙‘天枢‘大肠俞‘上巨虚‘阴陵泉‘内庭‘曲池,神阙、天枢‘大肠俞‘上巨虚、阴陵泉‘中皖‘建里,神阙、天枢、大肠俞、上巨虚‘阴陵泉‘肝俞、太冲,神阙、天枢、大肠俞‘上巨虚‘阴陵泉‘肾俞‘命门‘关元,E
太溪穴归____,肝经,心经,脾经,肾经,胆经,D
足临泣为八脉交会穴，同与脉____,阳踽脉,阴篇脉,带脉,冲脉,督脉,C
腹正中线旁开0.5寸是____,肺经,肝经,胃经,脾经,肾经,E
漏肩风除取主穴外手少阳证应配____,外关,合谷,后溪,内关,列缺,A
与督脉交于巅的阴经是____,肺经,心经,肾经,肝经,脾经,D
女，57岁。昨天因外感风寒后，出现咳嗽，呼吸急促，喉间痰鸣，咳吐稀痰，张口抬肩，口不渴，苔薄白，脉浮紧。针灸时选____,列缺、  肺俞、合谷、风门,肺俞、太渊‘太溪‘足三里‘列缺,肺俞‘尺泽‘足三里‘三阴交,膻中‘太渊‘太溪、鱼际,尺泽、肾俞‘气海‘足三里,A
中风中经络的针灸基本处方为：____,内关、极泉‘尺泽‘委中‘三阴交、足三里,百会、神阙‘关元‘足三里、内关,气海、关元‘丰隆‘委中‘三阴交,神门、内关、大陵、三阴交、足三里,神阙、关元、委中、太溪、昆仑,A
通里穴在腕横纹上____,0.5寸,1寸,1.5寸,2寸,2.5寸,B
痛经及崩漏针灸治疗均以取经穴为主____,任脉、足太阴经穴,冲脉‘足太阴经穴,任脉、足少阴经穴,冲脉、足少阴经穴,任脉‘足厥阴经穴,A
心包经的五输穴中的合穴是____,内关,间使,曲泽,曲池,少海,C
“客主人”是指____,上关,下关,太阳,头维,颊车,A
在手少阴心经循行线上，位于腕横纹上的穴位是____,神门,灵道,通里,风门、少商、曲池、合谷,列缺、合谷、大椎、风池‘太阳、曲池、外关,A
下列即是络穴，又是八脉交会穴的是____,阳池,支沟,外关,中渚,会宗,C
头穴中，枕下旁线主治下列哪类疾病____,皮层性视力障碍、白内障、近视眼,小脑疾病引起的平衡障碍、后头痛,偏头痛‘耳鸣、耳聋‘眩晕,癫痫‘精神失常,眼病‘足癣,B
针灸治疗面瘫的基本处方为：____,阳白、四白、颊车、地仓‘翳风‘颤髅,翳风、颤醪、合谷、太冲、  丰隆,阳白、四白、颊车、地仓、  翳风‘列缺,颊车‘地仓‘翳风‘额醪‘大陵,阳白、四白、颊车、地仓、翳风、颤髅、合谷,E
眩晕治疗基本处方中，除一外，都为近部取穴，疏调头部气机以治疗眩晕____,百会,绝骨,风池,头维,太阳,B
阳池穴与支沟穴相距为____,2寸,1寸,3寸,4寸,1.5寸,C
属于手太阳经穴位的是____,肩骨禺,肩井,肩髅,肩贞,巨骨,D
腰痛中肾虚腰痛除取主穴外还应当配____,昆仑,腰阳关,命门、后溪,志室、太溪,腰眼,D
用于治疗痔疮、脱肛的经外奇穴是____,中魁,二白,肘尖,四缝,外劳宫,B
十二经脉中，主血所生病的经脉是____,手太阴肺经,手阳明大肠经,足阳明胃经,任脉,肝经,C
下院在上腹部，前正中线上，脐中上寸____,2,3,4,5,1,A
在舐部，横平第4般后孔，舐正中崎旁开3寸是____,大肠俞,肾俞,志室,次髅,秩边,E
足阳明胃经在足跑部的支脉是从：____,膝下3寸处分出,三里下3寸出分出,巨虚上廉下3寸处分出,巨虚下廉3寸处分出,膝下8寸处分出,A
合谷与合称四关穴____,外关,内关,阳陵泉,太冲,涌泉,D
在腹部从前正中线由内向外，经脉的排列顺序为____,任脉‘足阳明胃经、足太阴脾经、足少阴肾经,任脉、足少阴肾经、足阳明胃经‘足太阴脾经,任脉‘足太阴脾经、足阳明胃经、足少阴肾经,任脉‘足少阴肾经、足太阴脾经、足阳明胃经,任脉‘足少阴肾经‘足厥阴肝经、足太阴脾经,B
以下穴位中，既是络穴，又是八脉交会穴的是____,前谷,足临泣,丰隆,后溪,公孙,E
命门位于后正中线上，第腰椎棘突下凹陷中____,2,4,3,1,5,A
复溜位于____,水泉上1寸,照海下1寸,太溪上2寸,三阴交下2寸,交信前1寸,C
落枕疼痛以督脉，太阳经为主要表现时除主穴外应加用____,太溪肾俞,天宗,肩井外关,后溪昆仑,肩骨禺,D
外关为手少阳三焦经的八脉交会穴，通于____,冲脉,任脉,阴维脉,督脉,阳维脉,E
心包的募穴是____,巨阙,膻中,气海,关元,天突,B
手太阴之别名曰____,通里,列缺,内关,太渊,以上都不是,B
足内踝前下方，当舟骨结节与内踝连线中点的穴位是____,中封,然谷,商丘,解溪,太白,C
第11胸椎棘突下，旁开1.5寸的穴位是____,肝俞,胆俞,脾俞,肓F号,胞肓,C
从四肢走向头身的经络，下列哪项是不正确的____,手三阴经,十二经别,十二经筋,足三阴经,手三阳,A
二间穴位于____,原穴,络穴,下合穴,经穴,荥穴,E
然谷穴属____,肝经,脾经,肾经,膀胱经,胆经,C
治疗中风闭证，除选太冲、劳宫外还应为：____,百会,水沟,下关,中冲,丰隆,B
有通便作用的穴位是____,飞扬,承山,支沟,阳谷,小海,C
位于外踝尖于跟腱之间凹陷处的穴位是____,商丘,解溪,大钟,地五会,昆仑,E
至阳位于后正中线上，第胸椎棘突下凹陷中____,6,5,7,9,4,C
治疗气血瘀滞型痛经，可在基本处方的基础上加用____,脾俞、足三里,太冲、血海,膈俞‘血海,脾俞‘膈俞,太冲、太溪,B
